Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-02-14 15:14:27.027 +0000,"Running",0:00:00,0,0,0,"20170214_151427.027/LogFile.txt","","",0
2017-02-14 15:29:51.051 +0000,"Running",0:00:00,0,0,0,"20170214_152951.051/LogFile.txt","","",0
2017-02-14 15:39:03.003 +0000,"Running",0:00:00,0,0,0,"20170214_153903.003/LogFile.txt","","",0
2017-02-14 15:42:52.052 +0000,"Running",0:00:00,0,0,0,"20170214_154252.052/LogFile.txt","","",0
2017-02-14 15:46:19.019 +0000,"Running",0:00:00,0,0,0,"20170214_154619.019/LogFile.txt","","",0
2017-02-14 15:48:55.055 +0000,"Running",0:00:00,0,0,0,"20170214_154855.055/LogFile.txt","","",0
2017-02-14 15:51:41.041 +0000,"Running",0:00:00,0,0,0,"20170214_155141.041/LogFile.txt","","",0
2017-02-14 15:53:24.024 +0000,"Running",0:00:00,0,0,0,"20170214_155324.024/LogFile.txt","","",0
2017-02-14 15:55:39.039 +0000,"Running",0:00:00,0,0,0,"20170214_155539.039/LogFile.txt","","",0
2017-02-14 15:56:05.005 +0000,"Running",0:00:00,0,0,0,"20170214_155605.005/LogFile.txt","","",0
2017-02-14 15:59:35.035 +0000,"Success",0:01:31,0,1,0,"20170214_155935.035/LogFile.txt","","",6
2017-02-14 16:02:06.006 +0000,"Success",0:02:23,0,1,0,"20170214_160206.006/LogFile.txt","","",6
