Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-02-22 11:33:08.008 +0000,"Failure",0:00:00,1,0,0,"20170222_113308.008/LogFile.txt","","SenseTalk Compiler Exception -- in adcleartransfersfilters:\nSyntax Error at line 51: Syntax Error - can't understand [end of script] at or near character 1173",0
2017-02-22 11:33:37.037 +0000,"Failure",0:00:00,1,0,0,"20170222_113337.037/LogFile.txt","","SenseTalk Compiler Exception -- in adcleartransfersfilters:\nSyntax Error at line 52: Syntax Error - can't understand [end of script] at or near character 1177",0
2017-02-22 11:42:45.045 +0000,"Running",0:00:00,0,0,0,"20170222_114245.045/LogFile.txt","","",0
2017-02-22 11:47:24.024 +0000,"Running",0:00:00,0,0,0,"20170222_114724.024/LogFile.txt","","",0
2017-02-22 11:49:15.015 +0000,"Success",0:00:20,0,1,0,"20170222_114915.015/LogFile.txt","","",1
2017-02-22 11:50:34.034 +0000,"Success",0:00:35,0,1,0,"20170222_115034.034/LogFile.txt","","",1
2017-02-22 11:53:46.046 +0000,"Success",0:00:34,0,1,0,"20170222_115346.046/LogFile.txt","","",1
2017-02-22 11:55:16.016 +0000,"Running",0:00:00,0,0,0,"20170222_115516.016/LogFile.txt","","",0
2017-02-22 11:56:03.003 +0000,"Running",0:00:00,0,0,0,"20170222_115603.003/LogFile.txt","","",0
2017-02-22 11:56:56.056 +0000,"Success",0:00:34,0,1,0,"20170222_115656.056/LogFile.txt","","",1
2017-02-22 11:58:49.049 +0000,"Success",0:00:38,0,1,0,"20170222_115849.049/LogFile.txt","","",1
2017-02-22 12:00:06.006 +0000,"Success",0:00:38,0,1,0,"20170222_120006.006/LogFile.txt","","",1
2017-02-22 12:02:43.043 +0000,"Success",0:00:03,0,1,0,"20170222_120243.043/LogFile.txt","","",1
2017-02-22 12:06:17.017 +0000,"Success",0:00:34,0,1,0,"20170222_120617.017/LogFile.txt","","",1
2017-02-22 12:07:52.052 +0000,"Success",0:00:37,0,1,0,"20170222_120752.052/LogFile.txt","","",1
2017-02-22 13:32:37.037 +0000,"Success",0:00:40,0,1,0,"20170222_133237.037/LogFile.txt","","",1
2017-02-22 13:34:38.038 +0000,"Success",0:00:35,0,1,0,"20170222_133438.038/LogFile.txt","","",1
2017-02-22 13:36:17.017 +0000,"Success",0:00:35,0,1,0,"20170222_133617.017/LogFile.txt","","",1
2017-02-22 13:38:24.024 +0000,"Success",0:00:38,0,1,0,"20170222_133824.024/LogFile.txt","","",1
2017-02-22 13:40:19.019 +0000,"Success",0:00:35,0,1,0,"20170222_134019.019/LogFile.txt","","",1
2017-02-22 13:44:05.005 +0000,"Success",0:00:35,0,1,0,"20170222_134405.005/LogFile.txt","","",1
