Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-12 12:25:12.012 +0000,"Success",0:01:04,0,1,0,"20161212_122512.012/LogFile.txt","","",1
2016-12-12 12:28:23.023 +0000,"Success",0:01:05,0,1,0,"20161212_122823.023/LogFile.txt","","",1
2016-12-12 13:37:00.000 +0000,"Running",0:00:00,0,0,0,"20161212_133700.000/LogFile.txt","","",0
2016-12-12 13:47:34.034 +0000,"Success",0:01:05,0,1,0,"20161212_134734.034/LogFile.txt","","",1
2016-12-12 13:53:29.029 +0000,"Running",0:00:00,0,0,0,"20161212_135329.029/LogFile.txt","","",0
2016-12-12 13:56:54.054 +0000,"Success",0:01:02,0,1,0,"20161212_135654.054/LogFile.txt","","",1
2016-12-12 14:16:27.027 +0000,"Running",0:00:00,0,0,0,"20161212_141627.027/LogFile.txt","","",0
2016-12-12 14:17:52.052 +0000,"Success",0:00:56,0,0,0,"20161212_141752.052/LogFile.txt","","",1
2016-12-12 14:22:34.034 +0000,"Running",0:00:00,0,0,0,"20161212_142234.034/LogFile.txt","","",0
2016-12-12 14:25:35.035 +0000,"Success",0:00:57,0,0,0,"20161212_142535.035/LogFile.txt","","",1
2016-12-12 14:28:41.041 +0000,"Success",0:01:04,0,1,0,"20161212_142841.041/LogFile.txt","","",1
2016-12-12 14:32:57.057 +0000,"Success",0:00:59,0,0,0,"20161212_143257.057/LogFile.txt","","",1
2016-12-12 14:37:58.058 +0000,"Success",0:00:58,0,0,0,"20161212_143758.058/LogFile.txt","","",1
2016-12-12 14:44:43.043 +0000,"Running",0:00:00,0,0,0,"20161212_144443.043/LogFile.txt","","",0
2016-12-12 14:45:22.022 +0000,"Success",0:01:03,0,1,0,"20161212_144522.022/LogFile.txt","","",1
2016-12-12 14:51:08.008 +0000,"Success",0:01:25,0,0,0,"20161212_145108.008/LogFile.txt","","",1
2016-12-12 15:03:11.011 +0000,"Success",0:01:05,0,1,0,"20161212_150311.011/LogFile.txt","","",1
2016-12-12 15:05:45.045 +0000,"Running",0:00:00,0,0,0,"20161212_150545.045/LogFile.txt","","",0
2016-12-12 15:08:18.018 +0000,"Running",0:00:00,0,0,0,"20161212_150818.018/LogFile.txt","","",0
2016-12-12 15:12:02.002 +0000,"Success",0:01:04,0,1,0,"20161212_151202.002/LogFile.txt","","",1
2016-12-12 15:14:33.033 +0000,"Running",0:00:00,0,0,0,"20161212_151433.033/LogFile.txt","","",0
2016-12-12 15:24:03.003 +0000,"Success",0:01:04,0,1,0,"20161212_152403.003/LogFile.txt","","",1
2016-12-12 15:28:28.028 +0000,"Success",0:01:05,0,1,0,"20161212_152828.028/LogFile.txt","","",1
2016-12-12 15:32:10.010 +0000,"Success",0:01:09,0,1,0,"20161212_153210.010/LogFile.txt","","",1
2016-12-12 16:00:14.014 +0000,"Running",0:00:00,0,0,0,"20161212_160014.014/LogFile.txt","","",0
2016-12-12 16:01:57.057 +0000,"Success",0:01:04,0,1,0,"20161212_160157.057/LogFile.txt","","",1
