Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-09 15:00:10.010 +0000,"Running",0:00:00,0,0,0,"20161209_150010.010/LogFile.txt","","",0
2016-12-09 15:02:42.042 +0000,"Success",0:00:52,0,1,0,"20161209_150242.042/LogFile.txt","","",1
2016-12-09 15:06:09.009 +0000,"Success",0:01:08,0,0,0,"20161209_150609.009/LogFile.txt","","",1
2016-12-09 15:11:11.011 +0000,"Success",0:00:57,0,0,0,"20161209_151111.011/LogFile.txt","","",1
2016-12-09 15:31:54.054 +0000,"Success",0:01:02,0,0,0,"20161209_153154.054/LogFile.txt","","",1
2016-12-09 15:52:00.000 +0000,"Success",0:01:04,0,0,0,"20161209_155200.000/LogFile.txt","","",1
2016-12-09 15:59:24.024 +0000,"Success",0:01:03,0,0,0,"20161209_155924.024/LogFile.txt","","",1
2016-12-09 16:02:58.058 +0000,"Failure",0:00:00,1,0,0,"20161209_160258.058/LogFile.txt","","SenseTalk Compiler Exception -- in adpreferences:\nSyntax Error at line 17: Syntax Error - can't understand ""else"" at or near character 234",0
2016-12-09 16:03:33.033 +0000,"Success",0:01:04,0,0,0,"20161209_160333.033/LogFile.txt","","",1
2016-12-09 16:19:25.025 +0000,"Running",0:00:00,0,0,0,"20161209_161925.025/LogFile.txt","","",0
2016-12-09 16:26:25.025 +0000,"Success",0:01:16,0,0,0,"20161209_162625.025/LogFile.txt","","",1
2016-12-09 16:36:22.022 +0000,"Failure",0:00:00,1,0,0,"20161209_163622.022/LogFile.txt","","SenseTalk Compiler Exception -- in adpreferences:\nSyntax Error at line 17: Syntax Error - can't understand [end of script] at or near character 305",0
2016-12-09 16:37:23.023 +0000,"Success",0:01:18,0,0,0,"20161209_163723.023/LogFile.txt","","",1
2016-12-09 16:59:53.053 +0000,"Running",0:00:00,0,0,0,"20161209_165953.053/LogFile.txt","","",0
2016-12-09 17:03:33.033 +0000,"Success",0:01:07,0,1,0,"20161209_170333.033/LogFile.txt","","",1
2016-12-12 08:54:53.053 +0000,"Running",0:00:00,0,0,0,"20161212_085453.053/LogFile.txt","","",0
2016-12-12 09:01:01.001 +0000,"Success",0:01:07,0,1,0,"20161212_090101.001/LogFile.txt","","",1
2016-12-12 09:10:42.042 +0000,"Success",0:01:03,0,1,0,"20161212_091042.042/LogFile.txt","","",1
2016-12-12 09:30:13.013 +0000,"Success",0:01:17,0,1,0,"20161212_093013.013/LogFile.txt","","",1
2016-12-12 09:34:14.014 +0000,"Success",0:01:11,0,1,0,"20161212_093414.014/LogFile.txt","","",1
2016-12-12 09:36:41.041 +0000,"Success",0:01:05,0,1,0,"20161212_093641.041/LogFile.txt","","",1
2016-12-12 09:39:27.027 +0000,"Success",0:01:03,0,1,0,"20161212_093927.027/LogFile.txt","","",1
2016-12-12 09:46:21.021 +0000,"Running",0:00:00,0,0,0,"20161212_094621.021/LogFile.txt","","",0
2016-12-12 09:51:13.013 +0000,"Running",0:00:00,0,0,0,"20161212_095113.013/LogFile.txt","","",0
2016-12-12 09:55:21.021 +0000,"Success",0:01:03,0,1,0,"20161212_095521.021/LogFile.txt","","",1
2016-12-12 10:00:47.047 +0000,"Running",0:00:00,0,0,0,"20161212_100047.047/LogFile.txt","","",0
2016-12-12 10:12:04.004 +0000,"Running",0:00:00,0,0,0,"20161212_101204.004/LogFile.txt","","",0
2016-12-12 10:14:29.029 +0000,"Success",0:01:03,0,1,0,"20161212_101429.029/LogFile.txt","","",1
2016-12-12 10:18:38.038 +0000,"Running",0:00:00,0,0,0,"20161212_101838.038/LogFile.txt","","",0
2016-12-12 10:25:11.011 +0000,"Running",0:00:00,0,0,0,"20161212_102511.011/LogFile.txt","","",0
2016-12-12 10:28:50.050 +0000,"Running",0:00:00,0,0,0,"20161212_102850.050/LogFile.txt","","",0
2016-12-12 10:37:55.055 +0000,"Success",0:01:04,0,1,0,"20161212_103755.055/LogFile.txt","","",1
2016-12-12 10:46:16.016 +0000,"Success",0:01:02,0,1,0,"20161212_104616.016/LogFile.txt","","",1
2016-12-12 10:52:05.005 +0000,"Success",0:01:08,0,0,0,"20161212_105205.005/LogFile.txt","","",1
2016-12-12 10:55:54.054 +0000,"Success",0:01:29,0,1,0,"20161212_105554.054/LogFile.txt","","",1
2016-12-12 11:29:10.010 +0000,"Running",0:00:00,0,0,0,"20161212_112910.010/LogFile.txt","","",0
2016-12-12 11:33:18.018 +0000,"Success",0:01:03,0,1,0,"20161212_113318.018/LogFile.txt","","",1
