Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-05 11:13:52.052 +0000,"Success",0:01:02,0,0,0,"20170105_111352.052/LogFile.txt","","",1
2017-01-05 11:50:21.021 +0000,"Success",0:01:09,0,2,0,"20170105_115021.021/LogFile.txt","","",1
2017-01-05 11:53:49.049 +0000,"Success",0:01:08,0,1,0,"20170105_115349.049/LogFile.txt","","",1
2017-01-05 11:56:31.031 +0000,"Success",0:01:07,0,1,0,"20170105_115631.031/LogFile.txt","","",1
2017-01-05 13:35:30.030 +0000,"Success",0:01:05,0,1,0,"20170105_133530.030/LogFile.txt","","",1
2017-01-05 13:37:52.052 +0000,"Success",0:01:08,0,1,0,"20170105_133752.052/LogFile.txt","","",1
2017-01-05 13:45:27.027 +0000,"Success",0:01:07,0,1,0,"20170105_134527.027/LogFile.txt","","",1
2017-01-05 13:48:29.029 +0000,"Success",0:01:05,0,1,0,"20170105_134829.029/LogFile.txt","","",1
2017-01-05 13:51:33.033 +0000,"Success",0:01:09,0,1,0,"20170105_135133.033/LogFile.txt","","",1
2017-01-05 13:54:51.051 +0000,"Success",0:01:04,0,0,0,"20170105_135451.051/LogFile.txt","","",1
2017-01-05 14:21:11.011 +0000,"Success",0:01:03,0,0,0,"20170105_142111.011/LogFile.txt","","",1
2017-01-23 16:56:08.008 +0000,"Success",0:01:12,0,0,0,"20170123_165608.008/LogFile.txt","","",2
2017-02-23 10:24:26.026 +0000,"Failure",0:00:00,1,0,1,"20170223_102426.026/LogFile.txt","","No Remote Connection -- doubleclickany Error - Remote Connection Unavailable",0
