Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-02-07 16:18:23.023 +0000,"Success",0:00:39,0,0,0,"20170207_161823.023/LogFile.txt","","",3
2017-02-07 16:20:14.014 +0000,"Success",0:00:39,0,0,0,"20170207_162014.014/LogFile.txt","","",3
2017-02-07 16:30:55.055 +0000,"Running",0:00:00,0,0,0,"20170207_163055.055/LogFile.txt","","",0
2017-02-07 16:32:23.023 +0000,"Success",0:00:42,0,0,0,"20170207_163223.023/LogFile.txt","","",4
2017-02-07 16:35:04.004 +0000,"Success",0:00:47,0,0,0,"20170207_163504.004/LogFile.txt","","",4
2017-02-07 16:37:07.007 +0000,"Success",0:00:04,0,1,0,"20170207_163707.007/LogFile.txt","","",1
2017-02-07 16:41:26.026 +0000,"Running",0:00:00,0,0,0,"20170207_164126.026/LogFile.txt","","",0
2017-02-07 16:43:20.020 +0000,"Running",0:00:00,0,0,0,"20170207_164320.020/LogFile.txt","","",0
2017-02-07 16:44:39.039 +0000,"Success",0:00:47,0,0,0,"20170207_164439.039/LogFile.txt","","",4
2017-02-07 16:46:11.011 +0000,"Running",0:00:00,0,0,0,"20170207_164611.011/LogFile.txt","","",0
2017-02-07 16:47:32.032 +0000,"Running",0:00:00,0,0,0,"20170207_164732.032/LogFile.txt","","",0
2017-02-07 16:49:43.043 +0000,"Success",0:00:47,0,0,0,"20170207_164943.043/LogFile.txt","","",4
2017-02-07 16:51:20.020 +0000,"Success",0:00:47,0,0,0,"20170207_165120.020/LogFile.txt","","",4
