Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-25 17:01:14.014 +0000,"Success",0:00:38,0,0,0,"20170125_170114.014/LogFile.txt","","",3
2017-01-25 17:06:29.029 +0000,"Running",0:00:00,0,0,0,"20170125_170629.029/LogFile.txt","","",0
2017-01-25 17:08:06.006 +0000,"Running",0:00:00,0,0,0,"20170125_170806.006/LogFile.txt","","",0
2017-01-25 17:12:27.027 +0000,"Running",0:00:00,0,0,0,"20170125_171227.027/LogFile.txt","","",0
2017-01-25 17:15:20.020 +0000,"Success",0:00:43,0,1,0,"20170125_171520.020/LogFile.txt","","",2
2017-01-25 17:17:31.031 +0000,"Running",0:00:00,0,0,0,"20170125_171731.031/LogFile.txt","","",0
2017-01-25 17:20:30.030 +0000,"Running",0:00:00,0,0,0,"20170125_172030.030/LogFile.txt","","",0
2017-01-25 17:23:01.001 +0000,"Success",0:01:40,0,1,0,"20170125_172301.001/LogFile.txt","","",2
2017-01-26 15:59:41.041 +0000,"Running",0:00:00,0,0,0,"20170126_155941.041/LogFile.txt","","",0
2017-01-26 16:00:22.022 +0000,"Running",0:00:00,0,0,0,"20170126_160022.022/LogFile.txt","","",0
2017-01-26 16:02:33.033 +0000,"Success",0:01:15,0,1,0,"20170126_160233.033/LogFile.txt","","",1
2017-01-26 16:03:56.056 +0000,"Running",0:00:00,0,0,0,"20170126_160356.056/LogFile.txt","","",0
2017-01-26 16:07:09.009 +0000,"Success",0:00:44,0,1,0,"20170126_160709.009/LogFile.txt","","",2
2017-01-26 16:23:04.004 +0000,"Success",0:00:28,0,0,0,"20170126_162304.004/LogFile.txt","","",2
2017-01-26 16:53:57.057 +0000,"Success",0:00:03,0,1,0,"20170126_165357.057/LogFile.txt","","",1
2017-01-26 16:54:15.015 +0000,"Success",0:00:03,0,1,0,"20170126_165415.015/LogFile.txt","","",1
2017-01-26 16:55:28.028 +0000,"Success",0:00:39,0,1,0,"20170126_165528.028/LogFile.txt","","",2
2017-01-26 17:04:53.053 +0000,"Success",0:01:24,0,0,0,"20170126_170453.053/LogFile.txt","","",2
2017-02-07 11:43:11.011 +0000,"Running",0:00:00,0,0,0,"20170207_114311.011/LogFile.txt","","",0
2017-02-07 11:45:41.041 +0000,"Success",0:00:42,0,1,0,"20170207_114541.041/LogFile.txt","","",3
2017-02-07 11:48:41.041 +0000,"Running",0:00:00,0,0,0,"20170207_114841.041/LogFile.txt","","",0
2017-02-07 11:50:24.024 +0000,"Success",0:00:45,0,1,0,"20170207_115024.024/LogFile.txt","","",3
2017-02-07 11:53:24.024 +0000,"Running",0:00:00,0,0,0,"20170207_115324.024/LogFile.txt","","",0
2017-02-07 11:55:14.014 +0000,"Running",0:00:00,0,0,0,"20170207_115514.014/LogFile.txt","","",0
2017-02-07 11:56:57.057 +0000,"Running",0:00:00,0,0,0,"20170207_115657.057/LogFile.txt","","",0
2017-02-07 12:00:03.003 +0000,"Success",0:00:46,0,1,0,"20170207_120003.003/LogFile.txt","","",3
2017-02-07 12:02:14.014 +0000,"Success",0:00:42,0,1,0,"20170207_120214.014/LogFile.txt","","",3
2017-02-07 12:04:13.013 +0000,"Success",0:00:50,0,1,0,"20170207_120413.013/LogFile.txt","","",3
2017-02-07 12:06:02.002 +0000,"Running",0:00:00,0,0,0,"20170207_120602.002/LogFile.txt","","",0
2017-02-07 12:07:28.028 +0000,"Success",0:00:56,0,0,0,"20170207_120728.028/LogFile.txt","","",4
2017-02-07 12:15:58.058 +0000,"Running",0:00:00,0,0,0,"20170207_121558.058/LogFile.txt","","",0
2017-02-07 12:17:33.033 +0000,"Failure",0:02:53,1,0,1,"20170207_121733.033/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Deleteicon""  Restricted Search Rectangle ((862,688),(967,704))\n",3
2017-02-07 12:21:58.058 +0000,"Running",0:00:00,0,0,0,"20170207_122158.058/LogFile.txt","","",0
2017-02-07 12:27:00.000 +0000,"Running",0:00:00,0,0,0,"20170207_122700.000/LogFile.txt","","",0
2017-02-07 12:28:33.033 +0000,"Success",0:00:54,0,1,0,"20170207_122833.033/LogFile.txt","","",3
2017-02-07 13:29:02.002 +0000,"Success",0:01:06,0,0,0,"20170207_132902.002/LogFile.txt","","",4
2017-02-07 13:31:34.034 +0000,"Success",0:01:07,0,0,0,"20170207_133134.034/LogFile.txt","","",4
2017-02-07 13:34:08.008 +0000,"Success",0:00:04,0,1,0,"20170207_133408.008/LogFile.txt","","",1
2017-02-07 13:35:40.040 +0000,"Running",0:00:00,0,0,0,"20170207_133540.040/LogFile.txt","","",0
2017-02-07 13:37:01.001 +0000,"Success",0:00:50,0,1,0,"20170207_133701.001/LogFile.txt","","",3
2017-02-07 13:39:16.016 +0000,"Running",0:00:00,0,0,0,"20170207_133916.016/LogFile.txt","","",0
2017-02-07 13:40:44.044 +0000,"Success",0:00:50,0,1,0,"20170207_134044.044/LogFile.txt","","",3
2017-02-07 13:46:51.051 +0000,"Running",0:00:00,0,0,0,"20170207_134651.051/LogFile.txt","","",0
2017-02-07 13:48:26.026 +0000,"Success",0:00:50,0,1,0,"20170207_134826.026/LogFile.txt","","",3
2017-02-07 13:50:47.047 +0000,"Running",0:00:00,0,0,0,"20170207_135047.047/LogFile.txt","","",0
2017-02-07 13:53:13.013 +0000,"Running",0:00:00,0,0,0,"20170207_135313.013/LogFile.txt","","",0
2017-02-07 13:54:35.035 +0000,"Success",0:00:51,0,1,0,"20170207_135435.035/LogFile.txt","","",3
2017-02-07 13:56:46.046 +0000,"Success",0:00:50,0,1,0,"20170207_135646.046/LogFile.txt","","",3
2017-02-07 13:59:05.005 +0000,"Running",0:00:00,0,0,0,"20170207_135905.005/LogFile.txt","","",0
2017-02-07 14:00:48.048 +0000,"Running",0:00:00,0,0,0,"20170207_140048.048/LogFile.txt","","",0
2017-02-07 14:02:17.017 +0000,"Running",0:00:00,0,0,0,"20170207_140217.017/LogFile.txt","","",0
2017-02-07 14:05:08.008 +0000,"Failure",0:00:59,1,0,1,"20170207_140508.008/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""VMSphereLogin""",0
2017-02-07 14:11:01.001 +0000,"Running",0:00:00,0,0,0,"20170207_141101.001/LogFile.txt","","",0
2017-02-07 14:14:24.024 +0000,"Success",0:01:39,0,0,0,"20170207_141424.024/LogFile.txt","","",4
2017-02-07 14:37:21.021 +0000,"Running",0:00:00,0,0,0,"20170207_143721.021/LogFile.txt","","",0
2017-02-07 15:07:42.042 +0000,"Success",0:00:04,0,1,0,"20170207_150742.042/LogFile.txt","","",1
