Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-17 16:26:43.043 +0000,"Success",0:01:13,0,1,0,"20170117_162643.043/LogFile.txt","","",1
2017-01-17 16:34:18.018 +0000,"Success",0:01:20,0,0,0,"20170117_163418.018/LogFile.txt","","",2
2017-01-17 16:38:05.005 +0000,"Success",0:01:19,0,0,0,"20170117_163805.005/LogFile.txt","","",2
2017-01-18 16:06:43.043 +0000,"Running",0:00:00,0,0,0,"20170118_160643.043/LogFile.txt","","",0
2017-01-18 16:13:38.038 +0000,"Running",0:00:00,0,0,0,"20170118_161338.038/LogFile.txt","","",0
2017-01-18 16:20:32.032 +0000,"Running",0:00:00,0,0,0,"20170118_162032.032/LogFile.txt","","",0
2017-01-18 16:24:42.042 +0000,"Failure",0:01:13,1,0,1,"20170118_162442.042/LogFile.txt","","File Not Found -- moveto Error - Could Not Open Image: ADServicePage",2
2017-01-18 16:27:58.058 +0000,"Success",0:01:31,0,0,0,"20170118_162758.058/LogFile.txt","","",2
2017-01-19 16:05:34.034 +0000,"Running",0:00:00,0,0,0,"20170119_160534.034/LogFile.txt","","",0
2017-01-19 16:09:40.040 +0000,"Success",0:01:33,0,0,0,"20170119_160940.040/LogFile.txt","","",2
