Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-13 14:15:01.001 +0000,"Running",0:00:00,0,0,0,"20161213_141501.001/LogFile.txt","","",0
2016-12-13 14:18:08.008 +0000,"Running",0:00:00,0,0,0,"20161213_141808.008/LogFile.txt","","",0
2016-12-13 14:20:24.024 +0000,"Running",0:00:00,0,0,0,"20161213_142024.024/LogFile.txt","","",0
2016-12-13 14:22:47.047 +0000,"Running",0:00:00,0,0,0,"20161213_142247.047/LogFile.txt","","",0
2016-12-13 14:34:13.013 +0000,"Running",0:00:00,0,0,0,"20161213_143413.013/LogFile.txt","","",0
2016-12-13 14:42:28.028 +0000,"Running",0:00:00,0,0,0,"20161213_144228.028/LogFile.txt","","",0
2016-12-13 14:46:49.049 +0000,"Success",0:00:50,0,0,0,"20161213_144649.049/LogFile.txt","","",1
2016-12-13 14:54:36.036 +0000,"Running",0:00:00,0,0,0,"20161213_145436.036/LogFile.txt","","",0
2016-12-13 14:59:10.010 +0000,"Running",0:00:00,0,0,0,"20161213_145910.010/LogFile.txt","","",0
2016-12-13 15:02:53.053 +0000,"Running",0:00:00,0,0,0,"20161213_150253.053/LogFile.txt","","",0
2016-12-13 15:06:54.054 +0000,"Running",0:00:00,0,0,0,"20161213_150654.054/LogFile.txt","","",0
2016-12-13 15:10:10.010 +0000,"Running",0:00:00,0,0,0,"20161213_151010.010/LogFile.txt","","",0
2016-12-13 15:13:13.013 +0000,"Running",0:00:00,0,0,0,"20161213_151313.013/LogFile.txt","","",0
2016-12-13 15:15:32.032 +0000,"Running",0:00:00,0,0,0,"20161213_151532.032/LogFile.txt","","",0
2016-12-13 15:19:17.017 +0000,"Running",0:00:00,0,0,0,"20161213_151917.017/LogFile.txt","","",0
2016-12-13 15:21:45.045 +0000,"Running",0:00:00,0,0,0,"20161213_152145.045/LogFile.txt","","",0
2016-12-13 15:26:14.014 +0000,"Running",0:00:00,0,0,0,"20161213_152614.014/LogFile.txt","","",0
2016-12-13 15:30:03.003 +0000,"Running",0:00:00,0,0,0,"20161213_153003.003/LogFile.txt","","",0
2016-12-13 15:33:59.059 +0000,"Running",0:00:00,0,0,0,"20161213_153359.059/LogFile.txt","","",0
2016-12-13 15:37:00.000 +0000,"Success",0:01:15,0,0,0,"20161213_153700.000/LogFile.txt","","",1
2016-12-13 16:33:57.057 +0000,"Running",0:00:00,0,0,0,"20161213_163357.057/LogFile.txt","","",0
2016-12-13 17:10:47.047 +0000,"Failure",0:00:00,1,0,0,"20161213_171047.047/LogFile.txt","","SenseTalk Compiler Exception -- in smbusfiletransfer:\nSyntax Error at line 20: Syntax Error - can't understand ""into"" at or near character 455",0
2016-12-13 17:11:46.046 +0000,"Failure",0:00:00,1,0,0,"20161213_171146.046/LogFile.txt","","SenseTalk Compiler Exception -- in smbusfiletransfer:\nSyntax Error at line 20: Syntax Error - can't understand ""into"" at or near character 456",0
2016-12-14 08:54:13.013 +0000,"Running",0:00:00,0,0,0,"20161214_085413.013/LogFile.txt","","",0
2016-12-14 08:59:31.031 +0000,"Running",0:00:00,0,0,0,"20161214_085931.031/LogFile.txt","","",0
2016-12-14 09:20:36.036 +0000,"Running",0:00:00,0,0,0,"20161214_092036.036/LogFile.txt","","",0
2016-12-14 09:31:28.028 +0000,"Success",0:01:24,0,1,0,"20161214_093128.028/LogFile.txt","","",1
2016-12-14 09:39:55.055 +0000,"Success",0:01:27,0,1,0,"20161214_093955.055/LogFile.txt","","",1
