Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ADExportLogs,Success,17,0,2016-12-12 12:25:12 +0000,2016-12-12 16:01:57 +0000,0:01:04
ADAdminCanEnableAnotherAdmin,Success,1,0,2017-02-15 10:07:31 +0000,2017-02-15 10:07:31 +0000,0:01:46
AUCancelClearTransfers,Success,3,2,2017-01-04 14:15:00 +0000,2017-01-04 14:34:52 +0000,0:01:10
ADAccessGeneralSystemSettingsPage,Failure,2,2,2017-02-16 11:06:03 +0000,2017-02-16 11:06:38 +0000,0:00:00
AUEditConfigurationManagerPreference,Success,1,0,2017-02-10 14:52:46 +0000,2017-02-10 14:52:46 +0000,0:01:54
ADAccessConfigurationPageFromDashboard,Failure,2,1,2017-02-22 15:39:41 +0000,2017-02-22 16:10:11 +0000,0:01:39
ADConfigurationCertificateManagementCreateCertificate,Success,1,0,2017-02-22 14:07:36 +0000,2017-02-22 14:07:36 +0000,0:00:40
AUDisableSMTPService,Success,6,4,2017-01-06 11:37:31 +0000,2017-01-06 13:39:52 +0000,0:01:15
AUCancelFTPServiceDisable,Success,1,0,2017-01-09 08:57:58 +0000,2017-01-09 08:57:58 +0000,0:01:06
AUCreateGroup,Success,4,0,2017-01-30 16:42:47 +0000,2017-02-07 15:17:27 +0000,0:00:27
ADAlerts,Success,1,0,2017-02-22 14:03:15 +0000,2017-02-22 14:03:15 +0000,0:00:13
ADCancelFTPServiceConfigure,Success,1,0,2017-01-12 16:00:59 +0000,2017-01-12 16:00:59 +0000,0:01:03
AUFTPConfigure,Success,1,0,2017-01-04 10:16:35 +0000,2017-01-04 10:16:35 +0000,0:01:18
AUUDPServiceConfigure,Success,2,0,2017-01-04 10:03:57 +0000,2017-01-04 10:06:51 +0000,0:01:07
WebBasePage,Failure,56,12,2016-12-08 16:44:25 +0000,2017-02-27 09:16:19 +0000,0:00:40
ADAdminCanCancelEnablingAnotherAdmin,Success,1,0,2017-02-15 12:04:31 +0000,2017-02-15 12:04:31 +0000,0:01:26
AUPrefrenceIconOnTopRightCorner,Success,2,0,2017-01-04 14:53:00 +0000,2017-01-04 14:56:05 +0000,0:01:15
AUDisableFTPService,Success,4,2,2017-01-05 16:32:14 +0000,2017-01-06 08:50:38 +0000,0:01:08
AUTCPServiceConfigure,Success,6,1,2017-01-17 16:26:43 +0000,2017-01-19 16:09:40 +0000,0:01:23
AUEnableFTPService,Success,9,1,2017-01-09 15:54:23 +0000,2017-01-10 09:00:50 +0000,0:01:06
AUEditApplianceUserPreference,Success,4,0,2017-02-08 15:43:22 +0000,2017-02-13 16:09:13 +0000,0:01:34
AUExportLogs,Failure,3,1,2017-01-04 10:58:19 +0000,2017-01-04 11:25:26 +0000,0:01:09
Untitled,Failure,24,3,2016-12-14 08:48:53 +0000,2016-12-15 15:28:19 +0000,0:00:24
ADConfigurationCryptographicSettings,Success,1,0,2017-02-22 16:43:31 +0000,2017-02-22 16:43:31 +0000,0:00:29
AUCreateUser,Success,30,2,2017-01-25 17:01:14 +0000,2017-02-07 15:08:22 +0000,0:00:47
AUPreferencesPasswordChange,Success,4,1,2017-01-04 08:51:32 +0000,2017-01-04 09:39:46 +0000,0:01:09
ADClearTransfersFilters,Success,17,2,2017-02-22 11:33:08 +0000,2017-02-22 13:44:05 +0000,0:00:33
ADConfigManagerCanChangeHisPassword,Failure,2,2,2017-02-22 09:47:01 +0000,2017-02-22 09:48:06 +0000,0:00:00
AUEnableTCPService,Success,2,0,2017-01-16 16:23:22 +0000,2017-01-16 16:49:52 +0000,0:01:14
AUCancelPasswordChange,Success,1,0,2017-01-04 15:09:46 +0000,2017-01-04 15:09:46 +0000,0:01:13
AUAccessConfigurationThroughTopMenuBar,Success,1,0,2017-01-23 17:13:55 +0000,2017-01-23 17:13:55 +0000,0:01:17
AUAccessServicesThroughTopMenuBar,Success,7,0,2017-01-05 09:47:34 +0000,2017-01-23 16:29:51 +0000,0:01:25
ADPreferencesPasswordChange,Success,25,2,2016-12-09 15:02:42 +0000,2016-12-12 11:33:18 +0000,0:01:06
AUClearTransfers,Success,2,0,2017-01-04 13:45:33 +0000,2017-01-04 13:56:36 +0000,0:01:09
ADAdminCanDisableAnotherAdmin,Success,4,0,2017-02-14 16:41:27 +0000,2017-02-14 16:54:38 +0000,0:01:33
ADTransfersFilter,Success,1,0,2017-02-22 15:19:32 +0000,2017-02-22 15:19:32 +0000,0:00:40
AUAdminCanEditHisOwnPublicKey,Success,2,0,2017-02-13 14:12:36 +0000,2017-02-14 08:29:07 +0000,0:01:29
LogoutVSphere,Success,1,0,2017-01-23 10:24:36 +0000,2017-01-23 10:24:36 +0000,0:00:10
AUAccessUsersThroughTopMenuBar,Success,1,0,2017-01-23 17:02:20 +0000,2017-01-23 17:02:20 +0000,0:01:11
AUAdminCanCancelDisablingApplianceUser,Failure,4,4,2017-02-16 09:27:40 +0000,2017-02-16 09:32:51 +0000,0:00:00
AUEditTransferFilter,Success,2,0,2017-01-04 15:24:10 +0000,2017-01-04 15:28:46 +0000,0:01:10
SmbUSFileTransfer,Success,25,3,2016-12-13 14:46:49 +0000,2016-12-16 10:00:44 +0000,0:02:07
AUFTPFileTransfer,Success,5,0,2017-01-04 15:56:22 +0000,2017-01-04 16:31:17 +0000,0:01:16
ADAddGroupToAdmin,Success,1,0,2017-02-15 15:01:09 +0000,2017-02-15 15:01:09 +0000,0:01:21
AUCancelEditingConfigManagerUserPreferences,Success,1,0,2017-02-13 09:51:40 +0000,2017-02-13 09:51:40 +0000,0:01:23
AUDisableSMBService,Success,3,1,2017-01-06 09:04:11 +0000,2017-01-06 09:08:53 +0000,0:01:05
AUCreateConfigurationManager,Success,3,0,2017-02-07 14:54:15 +0000,2017-02-07 15:05:32 +0000,0:00:48
ADAdminCanEditConfigManager'sPublicKey,Success,2,0,2017-02-14 10:44:17 +0000,2017-02-14 10:46:05 +0000,0:01:24
AUAccessStatusThroughTopMenuBar,Success,1,0,2017-01-23 16:43:56 +0000,2017-01-23 16:43:56 +0000,0:01:09
ADAdminCanDisableConfigManager,Success,2,0,2017-02-14 15:59:35 +0000,2017-02-14 16:02:06 +0000,0:01:57
AUCreateAdmin,Success,8,0,2017-02-07 16:18:23 +0000,2017-02-07 16:51:20 +0000,0:00:39
ADAccessNetworkConfigurationPage,Success,1,0,2017-02-16 11:18:14 +0000,2017-02-16 11:18:14 +0000,0:01:30
AUAccessingTransfersThroughTopMenuBar,Failure,13,1,2017-01-05 11:13:52 +0000,2017-02-23 10:24:26 +0000,0:01:07
