Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-14 08:48:53.053 +0000,"Success",0:00:00,0,0,0,"20161214_084853.053/LogFile.txt","","",1
2016-12-14 08:50:42.042 +0000,"Success",0:00:00,0,0,0,"20161214_085042.042/LogFile.txt","","",1
2016-12-14 08:51:03.003 +0000,"Success",0:00:00,0,0,0,"20161214_085103.003/LogFile.txt","","",1
2016-12-14 08:51:29.029 +0000,"Success",0:00:00,0,0,0,"20161214_085129.029/LogFile.txt","","",1
2016-12-15 08:51:52.052 +0000,"Success",0:00:00,0,0,0,"20161215_085152.052/LogFile.txt","","",1
2016-12-15 08:52:38.038 +0000,"Success",0:00:00,0,0,0,"20161215_085238.038/LogFile.txt","","",1
2016-12-15 08:53:09.009 +0000,"Failure",0:00:00,1,0,0,"20161215_085309.009/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got 'second' and 'Dec 15, 2016 08:53:09 AM'",0
2016-12-15 08:54:07.007 +0000,"Success",0:00:00,0,0,0,"20161215_085407.007/LogFile.txt","","",1
2016-12-15 08:54:33.033 +0000,"Success",0:00:00,0,0,0,"20161215_085433.033/LogFile.txt","","",1
2016-12-15 08:55:20.020 +0000,"Success",0:00:00,0,0,0,"20161215_085520.020/LogFile.txt","","",1
2016-12-15 08:56:20.020 +0000,"Success",0:00:00,0,0,0,"20161215_085620.020/LogFile.txt","","",1
2016-12-15 08:56:49.049 +0000,"Success",0:00:00,0,0,0,"20161215_085649.049/LogFile.txt","","",1
2016-12-15 09:16:46.046 +0000,"Success",0:00:00,0,0,0,"20161215_091646.046/LogFile.txt","","",1
2016-12-15 09:17:26.026 +0000,"Success",0:00:00,0,0,0,"20161215_091726.026/LogFile.txt","","",1
2016-12-15 09:40:02.002 +0000,"Success",0:00:48,0,1,0,"20161215_094002.002/LogFile.txt","","",1
2016-12-15 09:42:42.042 +0000,"Success",0:00:40,0,1,0,"20161215_094242.042/LogFile.txt","","",1
2016-12-15 10:03:39.039 +0000,"Success",0:01:05,0,0,0,"20161215_100339.039/LogFile.txt","","",1
2016-12-15 10:16:08.008 +0000,"Success",0:01:05,0,0,0,"20161215_101608.008/LogFile.txt","","",1
2016-12-15 10:21:15.015 +0000,"Success",0:01:06,0,0,0,"20161215_102115.015/LogFile.txt","","",1
2016-12-15 10:24:46.046 +0000,"Running",0:00:00,0,0,0,"20161215_102446.046/LogFile.txt","","",0
2016-12-15 10:41:42.042 +0000,"Success",0:01:10,0,0,0,"20161215_104142.042/LogFile.txt","","",1
2016-12-15 10:44:25.025 +0000,"Success",0:01:05,0,0,0,"20161215_104425.025/LogFile.txt","","",1
2016-12-15 10:54:19.019 +0000,"Running",0:00:00,0,0,0,"20161215_105419.019/LogFile.txt","","",0
2016-12-15 11:08:15.015 +0000,"Success",0:01:20,0,0,0,"20161215_110815.015/LogFile.txt","","",1
2016-12-15 13:57:15.015 +0000,"Running",0:00:00,0,0,0,"20161215_135715.015/LogFile.txt","","",0
2016-12-15 14:36:17.017 +0000,"Failure",0:00:00,1,0,0,"20161215_143617.017/LogFile.txt","","SenseTalk Compiler Exception -- in untitled:\nSyntax Error at line 22: Syntax Error - can't understand ""%"" at or near character 361",0
2016-12-15 15:28:19.019 +0000,"Failure",0:00:00,1,0,0,"20161215_152819.019/LogFile.txt","","SenseTalk Compiler Exception -- in untitled:\nSyntax Error at line 29: Syntax Error - can't understand ""12"" at or near character 497",0
